iso3,country,flag_score_mean,flag_multiplier,n_indicators,source_year
TWN,Taiwan,4.2,1.96,10,2025
RUS,Russia,4.1,1.93,10,2025
CHN,China,3.9,1.87,10,2025
PAN,Panama,3.7,1.81,10,2025
LBY,Libya,3.2,1.66,10,2025
IDN,Indonesia,3.2,1.66,10,2025
IRN,Iran,3.1,1.63,10,2025
KOR,Korea (Rep. South),3.1,1.63,10,2025
ECU,Ecuador,3.0,1.6,10,2025
IND,India,2.9,1.57,10,2025
COM,Comoros Isl.,2.9,1.57,10,2025
PRT,Portugal,2.9,1.57,10,2025
FRA,France,2.8,1.54,10,2025
UKR,Ukraine,2.7,1.51,10,2025
ESP,Spain,2.7,1.51,10,2025
VEN,Venezuela,2.7,1.51,10,2025
TUR,Turkey,2.7,1.51,10,2025
BHS,Bahamas,2.7,1.51,10,2025
VCT,Saint Vincent & the Grenadines,2.625,1.488,8,2025
TUN,Tunisia,2.6,1.48,10,2025
CRI,Costa Rica,2.6,1.48,10,2025
LBR,Liberia,2.6,1.48,10,2025
GEO,Georgia,2.6,1.48,10,2025
LKA,Sri Lanka,2.6,1.48,10,2025
ZAF,South Africa,2.6,1.48,10,2025
EGY,Egypt,2.6,1.48,10,2025
SOM,Somalia,2.5,1.45,8,2025
PNG,Papua New Guinea,2.5,1.45,10,2025
JPN,Japan,2.5,1.45,10,2025
THA,Thailand,2.5,1.45,10,2025
NIC,Nicaragua,2.5,1.45,10,2025
NRU,Nauru,2.5,1.45,10,2025
VUT,Vanuatu,2.5,1.45,10,2025
SUR,Suriname,2.4,1.42,10,2025
FSM,Micronesia (FS of),2.4,1.42,10,2025
ITA,Italy,2.4,1.42,10,2025
MYS,Malaysia,2.4,1.42,10,2025
DZA,Algeria,2.4,1.42,10,2025
GNQ,Equatorial Guinea,2.375,1.413,8,2025
VNM,Viet Nam,2.375,1.413,8,2025
MAR,Morocco,2.3,1.39,10,2025
GBR,United Kingdom,2.3,1.39,10,2025
KIR,Kiribati,2.3,1.39,10,2025
MUS,Mauritius,2.3,1.39,10,2025
BLZ,Belize,2.3,1.39,10,2025
MHL,Marshall Isl.,2.3,1.39,10,2025
LBN,Lebanon,2.3,1.39,10,2025
DMA,Dominica,2.2857142857142856,1.386,7,2025
COG,"Congo, R. of",2.2857142857142856,1.386,7,2025
NGA,Nigeria,2.25,1.375,8,2025
MRT,Mauritania,2.25,1.375,8,2025
STP,Sao Tome & Principe,2.25,1.375,8,2025
GNB,Guinea-Bissau,2.25,1.375,8,2025
MDV,Maldives,2.2,1.36,10,2025
