wdpa_id,name,designation,desig_type,no_take,iucn_cat,iso3
182720,Parco sommerso di Baia,Others,National,Not Reported,IV,ITA
15509,Salinas y Arenales de San Pedro del Pinatar,Regional Park,National,Not Reported,II,ESP
13176,Area marina protetta Penisola del Sinis  - Isola Mal di Ventre,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
178271,Bouches De Bonifacio,Corsican Nature Reserve,National,Not Reported,IV,FRA
13164,Riserva naturale marina Isole Tremiti,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
16110,Cap taillat – cap camarat,Land acquired by Conservatoire du Littoral (national seaside and lakeside conservancy),National,Not Reported,IV,FRA
151243,El Cabo Peñas,Protected Landscape,National,Not Reported,V,ESP
13170,Riserva naturale marina Isole Egadi,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
16516,Rijeka Dubrovačka,Significant Landscape,National,Not Reported,Not Reported,HRV
20721,Area naturale marina protetta Secche di Tor Paterno,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
176812,Pyasachna banka Koketrays,Protected Site,National,Not Reported,VI,BGR
181966,Butrinti,National Park (category II),National,Not Reported,II,ALB
182734,Area marina protetta Isola dell'Asinara,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
196284,Cabo de Gata-Níjar,Natural Park,National,Not Reported,V,ESP
13160,Area marina protetta Cinque Terre,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
102877,Marismas de Santoña,Wetland of International Importance (Ramsar Site),International,Not Reported,Not Reported,ESP
182733,Area marina protetta Isole Pelagie,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
178838,Area naturale marina protetta Capo Carbonara,Natural Marine Reserve and Natural Protected Marine Areas,National,Not Reported,IV,ITA
196045,L'arxipèlag de Cabrera,Nacional Park,National,Not Reported,II,ESP
326112,Rt Madona v Piranu,Natural Monument,National,Not Reported,III,SVN
20934,Arrecife Barrera de Posidonia,Natural Monument,National,Not Reported,III,ESP
